Niche,Expert,Social_Media_Link,Biographie
"Books, Comics & Magazines",Rick Gekoski,https://twitter.com/RickGekoski,"Écrivain, marchand de livres rares et expert reconnu en premières éditions et manuscrits littéraires."
"Business, Office & Industrial",Barbara Corcoran,https://twitter.com/BarbaraCorcoran,Entrepreneure à succès et experte en stratégie commerciale et équipements industriels.
Cameras & Photography,Ken Rockwell,https://twitter.com/kenrockwell,"Expert technique et critique de matériel photographique, célèbre pour ses analyses détaillées d'objectifs et de boîtiers."
"Clothes, Shoes & Accessories",Nina Garcia,https://twitter.com/ninagarcia,Rédactrice en chef de ELLE et experte influente dans l'industrie de la mode et des accessoires de luxe.
Computers/Tablets & Networking,Linus Sebastian,https://twitter.com/linustech,"Expert en matériel informatique et réseaux, fondateur de Linus Tech Tips et référence mondiale en hardware."
Crafts,Vickie Howell,https://www.instagram.com/vickiehowell/,"Auteure, designer et experte en loisirs créatifs, spécialisée dans le tricot et les arts textiles."
"DVDs, Films & TV",Mark Kermode,https://twitter.com/KermodeMovie,"Critique de cinéma de premier plan pour la BBC, historien du film et expert en médias audiovisuels."
Garden & Patio,Monty Don,https://www.instagram.com/themontydon/,"Horticulteur expert et présentateur de 'Gardeners' World', autorité majeure en aménagement de jardins."
Health & Beauty,Caroline Hirons,https://www.instagram.com/carolinehirons/,Esthéticienne consultante et experte mondiale en soins de la peau et industrie cosmétique.
Holidays & Travel,Rick Steves,https://twitter.com/RickSteves,"Expert en voyages, auteur de guides et spécialiste de la culture et du patrimoine touristique mondial."
"Home, Furniture & DIY",Kevin McCloud,https://twitter.com/Kevin_McCloud,"Présentateur de 'Grand Designs' et expert en architecture, design d'intérieur et rénovation durable."
Jewellery & Watches,Ariel Adams,https://twitter.com/aBlogtoWatch,Fondateur de aBlogtoWatch et expert international en horlogerie de luxe et joaillerie.
Mobile Phones & Communication,Marques Brownlee (MKBHD),https://twitter.com/MKBHD,"Analyste technologique de premier plan, expert en smartphones et innovations mobiles."
Music / Vinyl records,Gilles Peterson,https://twitter.com/gillespeterson,"DJ, collectionneur et expert en musique, reconnu pour sa connaissance encyclopédique du vinyle."
Musical Instruments,Joe Bonamassa,https://twitter.com/JBONAMASSA,"Musicien et collectionneur d'instruments vintage, expert reconnu en guitares historiques et amplificateurs."
Pet Supplies,Jackson Galaxy,https://twitter.com/JacksonGalaxy,Expert en comportement animal et spécialiste des soins et du bien-être des animaux de compagnie.
Sound & Vision,Steve Guttenberg,https://twitter.com/audiophiliacman,"Critique audio (The Audiophiliac), expert en systèmes hi-fi et technologies de reproduction sonore."
Sporting Goods,Darren Rovell,https://twitter.com/darrenrovell,"Analyste du marché du sport, expert en équipements sportifs et économie du sport."
Video Games & Consoles,Geoff Keighley,https://twitter.com/geoffkeighley,"Journaliste et producteur, figure centrale de l'industrie du jeu vidéo et expert en hardware de jeu."
"Cars, Motorcycles & Vehicles",James May,https://twitter.com/MrJamesMay,"Journaliste automobile renommé (Top Gear), expert en ingénierie et histoire des véhicules motorisés."
Vehicle Parts & Accessories,Edd China,https://twitter.com/TheRealEddChina,"Mécanicien expert et inventeur, spécialiste des pièces détachées et de la restauration de véhicules."
Property,Phil Spencer,https://twitter.com/PhilSpencerTV,"Expert immobilier, consultant et présentateur spécialisé dans l'achat et l'évaluation de biens."
Wholesale & Job Lots,Duncan Bannatyne,https://twitter.com/DuncanBannatyne,"Entrepreneur et investisseur, expert en commerce de gros et gestion de stocks d'affaires."
Events Tickets,Dean Budnick,https://twitter.com/deanbudnick,Rédacteur en chef de Relix et expert en industrie du spectacle vivant et marché de la billetterie.
Autographs,Garry King,https://twitter.com/autograph_king,"Expert en autographes certifié par l'AFTAL et l'UACC, spécialisé dans la détection de contrefaçons et l'authentification de signatures de célébrités."
Badges & patches,The British Badge Forum,https://www.facebook.com/BritishBadgeForum/,"Organisation de référence pour l'identification et l'histoire des insignes militaires et civils, dirigée par des historiens spécialisés."
Breweriana,Jeff Alworth,https://twitter.com/Beervana,"Auteur et historien de la culture brassicole, expert en objets publicitaires, bouteilles et histoire des brasseries."
"Coins, banknotes and bullion",CoinWorld (Jeff Starck),https://twitter.com/MrCoinWorld,"Éditeur et numismate expert, spécialisé dans l'histoire des monnaies mondiales, les billets de banque et les métaux précieux."
Collectables,Tracy Martin,https://twitter.com/TracyMartinTV,"Experte en objets de collection vintage et mode rétro, auteure et consultante régulière pour des émissions d'expertise télévisées."
Comics,Douglas Wolk,https://twitter.com/douglaswolk,"Critique de comics lauréat du prix Eisner et auteur, expert en histoire des bandes dessinées et culture graphique."
Decorative,Mark Hill,https://www.instagram.com/markhillantiques/,"Auteur et expert en arts décoratifs du XXe siècle, spécialiste du design moderne et du verre de collection."
Film memorabilia,Prop Store (Stephen Lane),https://www.instagram.com/prop_store/,Fondateur de Prop Store et expert mondial dans l'archivage et la vente d'accessoires et de costumes de cinéma originaux.
Militaria,Mark Urban,https://twitter.com/markurban01,"Historien militaire et auteur renommé, expert dans l'analyse d'objets historiques liés aux conflits et à l'armement."
Postcards,Postcard Traders Association,https://twitter.com/postcardtraders,Association officielle regroupant les plus grands experts mondiaux en cartophilie et histoire postale.
Sci Fi,Adam Whitehead,https://twitter.com/AtlasOfIceAndFire,"Historien de la science-fiction et de la fantasy, expert en chronologie des œuvres cultes et memorabilia de genre."
Stamps,Graham Beck (Exploring Stamps),https://www.youtube.com/c/ExploringStamps,Philatéliste influent et créateur de contenus éducatifs sur l'histoire postale et la rareté des timbres mondiaux.
Transportation,Christian Wolmar,https://twitter.com/christianwolmar,"Écrivain et historien ferroviaire de premier plan, spécialisé dans l'histoire des transports et des infrastructures."
Cricket memorabilia,Neil Robinson,https://twitter.com/MCCLibrary,"Bibliothécaire et conservateur au Marylebone Cricket Club (Lord's), expert reconnu dans l'archivage et l'authentification d'objets historiques liés au cricket."
Football memorabilia,Graham Budd,https://twitter.com/GrahamBuddAuctions,"Expert de renommée mondiale en mémorabilia de football, ancien spécialiste chez Sotheby's et fondateur d'une maison de vente spécialisée dans le sport."
Motor sport memorabilia,Andrew Josey,https://www.linkedin.com/in/andrew-josey-7b24761a/,"Spécialiste du patrimoine automobile et des sports mécaniques, expert en authentification de casques, combinaisons et pièces de Formule 1."
Rugby union memorabilia,Phil Atkinson,https://twitter.com/RugbyMag,"Historien du rugby et éditeur spécialisé, expert dans l'identification de programmes anciens, de maillots et de l'histoire des tournées internationales."
Sports memorabilia,David Convery,https://twitter.com/ConveryAuctions,"Expert généraliste en sport de haut niveau, spécialisé dans l'évaluation d'objets multisports pour les grandes maisons de vente aux enchères."
Sports trading cards,Rich Klein,https://twitter.com/richklein,"Analyste de données pour le marché des cartes de sport, contributeur historique pour Beckett Media et expert en cotation de cartes vintage."
Wrestling memorabilia,Bill Apter,https://twitter.com/apter1wrestling,"Journaliste et photographe de catch légendaire, considéré comme la plus grande autorité vivante sur l'histoire et les objets de collection du catch pro."
Collectable card games,Charlie Hurlocker,https://twitter.com/Chaz_Hurlocker,"Expert reconnu dans l'évaluation des jeux de cartes à collectionner (Magic, Pokémon), consultant pour les maisons de vente et analyste de marché."
Dolls & Bears,Daniel Agnew,https://www.facebook.com/DanielAgnewAntiques/,"Ancien expert de Christie's et conservateur de musée, spécialiste mondialement reconnu des ours en peluche anciens et des poupées de collection."
Model Trains / Railways and trains,Pete Waterman,https://twitter.com/PeteWatermanOBE,"Producteur célèbre et passionné de chemins de fer, détenteur d'une collection massive et expert en modélisme ferroviaire et histoire du rail."
Toys & Games,Richard Levy,https://www.linkedin.com/in/richard-levy-9b6b33/,"Auteur du 'Toy and Game Inventor's Handbook', expert en design, histoire et brevetage des jouets et jeux de société classiques."
Wargames and role-playing,Rick Priestley,https://twitter.com/Rick_Priestley,"Concepteur de jeux de figurines légendaire (Warhammer), historien des wargames et autorité majeure dans le domaine des jeux de rôle."
Diecast vehicles,Michael Zarnock,https://twitter.com/HotWheelsExpert,"Détenteur de records mondiaux Guinness et auteur de nombreux guides de référence sur les véhicules miniatures, spécialisé dans les Hot Wheels."
